population,n,avg_fico,fico_p25,fico_p75,avg_requested_amount,avg_dti,avg_int_rate
Rejected,9035354,633.0,593.0,675.0,12653.0,161.6,
Accepted,2260668,701.0,677.0,717.0,15042.0,18.82,13.09
